,trough,expansion,peak,contraction,all_data
XLB,5.256870927991464,3.046648796549019,4.311916730535989,1.2658198454926841,1.4884912471076057
XLI,-4.4081384482183745,3.2675839122859354,4.311914559098087,-0.06068504112064764,1.5124922811357246
XLF,-6.192939063406952,2.853286511661657,4.427834779017897,-2.948599684457244,1.1928666926152602
XLK,6.995841602997692,2.021790860929176,4.235926938667928,-2.5830411462768113,1.606790303069281
XLY,2.706407515071212,2.560789580856392,3.149797782607171,-0.40065507771518777,1.32112791550486
XLP,-3.526265221719658,2.1385094627366756,1.7844326556859396,1.6726632792263707,1.2183826477184836
XLE,6.969947693765752,1.3783420963841204,3.497584783700574,1.256072075906715,1.4602838346220264
XLV,0.5514844194314703,3.015676789668658,2.317389230686005,-0.652179225032367,1.5199324550192248
VOX,10.477726468497245,1.9451300783465,3.2522428510100214,-2.066929317898575,1.497968542956708
XLU,-1.970174504837107,1.2623086108844026,1.4876109445362418,-1.0512689746397492,1.5829664563061239
IYR,-3.2578656735433555,0.743454786715989,2.172286411984424,4.079282935251171,1.2009246682063237
