,weights,trough,expansion,peak,contraction,all_data
0,"{'Bollinger': 0.3333333333333333, 'RSI': 0.3333333333333333, 'MACD': 0.3333333333333333}",-1.2070094576370478,5.920391331725383,8.244365640034825,-6.434215981328382,3.1646567125996614
1,"{'Bollinger': 0.25, 'RSI': 0.25, 'MACD': 0.5}",1.701319503564424,12.05981105287998,14.55049941206275,-17.847358584418593,6.136224989585288
2,"{'Bollinger': 0.16666666666666666, 'RSI': 0.16666666666666666, 'MACD': 0.6666666666666666}",63.957584629864385,48.36668036687634,58.523391060439984,-66.86242620528246,29.61851436055017
3,"{'Bollinger': 0.125, 'RSI': 0.125, 'MACD': 0.7499999999999999}",173.54353349685778,97.54383336867112,119.53918128111219,-115.93588664912996,66.15890662305306
4,"{'Bollinger': 0.25, 'RSI': 0.5, 'MACD': 0.25}",0.0029957324505948627,8.357211560459584,12.400415736526329,-7.789714388612722,4.672440334447323
5,"{'Bollinger': 0.2, 'RSI': 0.4, 'MACD': 0.4}",-1.109032404300954,7.306160632926401,9.646123502912083,-9.530055569233008,3.6016929064258183
6,"{'Bollinger': 0.14285714285714285, 'RSI': 0.2857142857142857, 'MACD': 0.5714285714285714}",13.381569335751909,20.950933565668997,25.45948104642797,-32.69649220063865,11.0972516554121
7,"{'Bollinger': 0.11111111111111112, 'RSI': 0.22222222222222224, 'MACD': 0.6666666666666666}",60.068671474997785,46.75778204691164,57.25711198546419,-68.42298583345926,27.970378757627497
8,"{'Bollinger': 0.16666666666666669, 'RSI': 0.6666666666666667, 'MACD': 0.16666666666666669}",0.6041072328187909,12.664890016784488,20.381573456022533,-10.127990781491517,7.000394223575799
9,"{'Bollinger': 0.14285714285714288, 'RSI': 0.5714285714285715, 'MACD': 0.28571428571428575}",0.28136368080917057,9.937040923895307,14.401546858912992,-9.976818202920642,5.334695273971118
10,"{'Bollinger': 0.11111111111111112, 'RSI': 0.4444444444444445, 'MACD': 0.4444444444444445}",-0.7291224073362111,8.479878092485128,10.894825912470667,-12.60989534289792,3.9699444074268686
11,"{'Bollinger': 0.09090909090909091, 'RSI': 0.36363636363636365, 'MACD': 0.5454545454545454}",6.6780863417747955,16.230331082021458,19.964204585530428,-26.63244686522791,8.054861606884389
12,"{'Bollinger': 0.12500000000000003, 'RSI': 0.75, 'MACD': 0.12500000000000003}",0.5979158712933629,15.860003580011837,26.84713515397692,-11.793654820471282,8.62230735089487
13,"{'Bollinger': 0.11111111111111113, 'RSI': 0.6666666666666667, 'MACD': 0.22222222222222227}",0.7194148219074674,12.461474798399847,19.17294511311849,-10.91464475651794,6.741357332672958
14,"{'Bollinger': 0.09090909090909091, 'RSI': 0.5454545454545454, 'MACD': 0.36363636363636365}",0.10116858488511825,9.712672439016991,13.218222705632042,-11.734630734946238,4.954173685919678
15,"{'Bollinger': 0.07692307692307694, 'RSI': 0.46153846153846156, 'MACD': 0.46153846153846156}",-0.522999741207085,8.995751719999785,11.46246341571657,-14.09862606327156,4.127355464774012
16,"{'Bollinger': 0.5, 'RSI': 0.25, 'MACD': 0.25}",-0.20190531973397038,5.727365713230257,8.330499541322013,-5.113979749382938,3.1635838609660043
17,"{'Bollinger': 0.4, 'RSI': 0.2, 'MACD': 0.4}",-0.2924584698990044,8.358901268279405,10.641568147811743,-10.12637238906035,4.513075896208604
18,"{'Bollinger': 0.2857142857142857, 'RSI': 0.14285714285714285, 'MACD': 0.5714285714285714}",16.474392528531176,22.83840922301295,26.97774551508139,-32.0542008229671,12.948634216171415
19,"{'Bollinger': 0.22222222222222224, 'RSI': 0.11111111111111112, 'MACD': 0.6666666666666666}",68.03320437047017,50.04653863604571,59.82041083556501,-65.4048548816087,31.343879112446054
20,"{'Bollinger': 0.4, 'RSI': 0.4, 'MACD': 0.2}",0.48762646927049064,7.746005485543799,11.66146859239824,-6.508305791893116,4.33163915438519
21,"{'Bollinger': 0.3333333333333333, 'RSI': 0.3333333333333333, 'MACD': 0.3333333333333333}",-1.2070094576370478,5.920391331725383,8.244365640034825,-6.434215981328382,3.1646567125996614
22,"{'Bollinger': 0.25, 'RSI': 0.25, 'MACD': 0.5}",1.701319503564424,12.05981105287998,14.55049941206275,-17.847358584418593,6.136224989585288
23,"{'Bollinger': 0.2, 'RSI': 0.2, 'MACD': 0.6}",24.532197899032088,27.749953872604557,33.295426392837435,-40.5562866288071,15.717745868982536
24,"{'Bollinger': 0.2857142857142857, 'RSI': 0.5714285714285714, 'MACD': 0.14285714285714285}",0.8440358252480356,11.351656865448044,18.135964867609257,-8.78329365066373,6.247800862157564
25,"{'Bollinger': 0.25, 'RSI': 0.5, 'MACD': 0.25}",0.0029957324505948627,8.357211560459584,12.400415736526329,-7.789714388612722,4.672440334447323
26,"{'Bollinger': 0.2, 'RSI': 0.4, 'MACD': 0.4}",-1.109032404300954,7.306160632926401,9.646123502912083,-9.530055569233008,3.6016929064258183
27,"{'Bollinger': 0.16666666666666666, 'RSI': 0.3333333333333333, 'MACD': 0.4999999999999999}",1.1018104343462118,11.450678177486777,14.003035378425558,-17.902741773510346,5.567695888449008
28,"{'Bollinger': 0.22222222222222224, 'RSI': 0.6666666666666666, 'MACD': 0.11111111111111112}",0.7978223488998537,14.20968602747496,23.692232695775065,-10.46544507371906,7.698416231415109
29,"{'Bollinger': 0.2, 'RSI': 0.6, 'MACD': 0.2}",0.4503621230504443,10.660357478514081,16.562248295059756,-9.046861423731345,5.941441622024831
