Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-08-28,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Sell,Sell,Buy,Buy
2019-08-29,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2019-08-30,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-03,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-04,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-09,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-09-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Sell
2019-09-11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Sell
2019-09-12,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2019-09-13,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Sell,Sell
2019-09-16,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Sell,Sell
2019-09-17,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Sell,Sell
2019-09-18,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell
2019-09-19,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell
2019-09-20,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Buy,Buy,Sell
2019-09-23,Buy,Buy,Buy,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Buy
2019-09-24,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Sell
2019-09-25,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell
2019-09-26,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
