Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2008-03-03,Buy,Sell,Sell,Buy,Sell,Buy,Buy,Buy,Sell,Sell,Sell
2008-03-04,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2008-03-05,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Sell
2008-03-06,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2008-03-07,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-10,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-11,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-12,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Sell
2008-03-13,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Sell
2008-03-14,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-03-17,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-03-18,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Buy,Buy
2008-03-19,Sell,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Buy,Buy,Buy
2008-03-20,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2008-03-24,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-03-25,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-03-26,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-03-27,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-03-28,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-03-31,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-04-01,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-02,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-03,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-04,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-08,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-09,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-04-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-04-11,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Buy,Buy,Buy,Sell
2008-04-14,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Sell
2008-04-15,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Sell
2008-04-16,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Sell
2008-04-17,Buy,Sell,Sell,Buy,Sell,Sell,Buy,Buy,Sell,Buy,Buy
2008-04-18,Buy,Sell,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-21,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-22,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-23,Buy,Sell,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-24,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-25,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-28,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy
2008-04-29,Sell,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2008-04-30,Sell,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
