Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2012-03-20,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,Buy
2012-03-21,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2012-03-22,Sell,Sell,Buy,Buy,Buy,Sell,Sell,Sell,Buy,Sell,Buy
2012-03-23,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy
2012-03-26,Buy,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,Buy
2012-03-27,Buy,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Sell
2012-03-28,Buy,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Sell
2012-03-29,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell
2012-03-30,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Buy,Sell
2012-04-02,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Buy,Buy
2012-04-03,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Buy,Buy
2012-04-04,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Buy,Sell
2012-04-05,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2012-04-09,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2012-04-10,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-11,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-12,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-13,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-16,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-17,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-18,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2012-04-19,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Buy
2012-04-20,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Buy,Buy
2012-04-23,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Buy
2012-04-24,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Buy
2012-04-25,Buy,Buy,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Buy
