Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-12-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-12-12,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2019-12-13,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2019-12-16,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2019-12-17,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2019-12-18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-12-19,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Hold
2019-12-20,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Hold
2019-12-23,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Hold,Hold
2019-12-24,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Hold
2019-12-26,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Hold,Hold
2019-12-27,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Hold
2019-12-30,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Sell,Hold,Sell,Hold
2019-12-31,Sell,Hold,Hold,Sell,Sell,Hold,Sell,Sell,Sell,Sell,Hold
2020-01-02,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Hold
2020-01-03,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Hold,Hold
2020-01-06,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Hold,Hold
2020-01-07,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Sell,Hold,Hold
2020-01-08,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold
2020-01-09,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold
2020-01-10,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2020-01-13,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold
2020-01-14,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold
2020-01-15,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold
2020-01-16,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold
2020-01-17,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold
2020-01-21,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Sell,Sell,Sell
2020-01-22,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Sell,Sell,Sell,Hold
2020-01-23,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Hold,Sell,Sell,Sell
2020-01-24,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Hold,Sell,Sell,Sell
2020-01-27,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Sell,Hold
2020-01-28,Hold,Hold,Hold,Hold,Hold,Sell,Buy,Hold,Hold,Sell,Sell
2020-01-29,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Sell,Sell
2020-01-30,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Sell,Sell
2020-01-31,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Sell,Hold
