,trough,expansion,peak,contraction,all_data
XLB,5.8174539932371525,-0.8661555044940084,-1.9921594377869125,2.9108633434131215,-0.09447824230236712
XLI,-6.521926216620953,0.5866395641007056,0.7904595520056557,-1.332614458638227,0.35219447709223495
XLF,-14.80922211151304,1.2930826383623026,3.506345506980888,-12.333350417385498,-0.9480954307207536
XLK,10.054659249451735,-0.4178878418121208,6.57363935875603,0.4856489417893033,1.8884767699679177
XLY,5.568117267026542,1.0302028073322669,-2.6112128039901537,-1.0856159351355807,0.6439545207677577
XLP,-1.4974513707865533,-0.08187969054679733,-0.8686302981974201,3.6461617630953516,-0.383001380813047
XLE,1.7305600440558795,-2.0711484311944193,-6.481263959958663,6.736929976425355,-0.04856250843259513
XLV,1.841148004664598,3.1569255551271285,2.417681188785923,-0.5004969987029781,0.20149026315007568
VOX,10.734616595499169,-0.335177552886079,0.0908035068469486,-2.082708788013838,-0.4643049960562089
XLU,-2.339937205301906,-0.7734809436306396,0.28665299768614716,0.6199693367710992,-0.6590211412893341
IYR,-10.578018249712638,-1.5211206003583468,-1.7123156111284397,2.9352132363818897,-0.48865233136368014
