,trough,expansion,peak,contraction,all_data
XLB,10.028037265986926,1.8993460961483717,2.6111523658708373,0.5195807024030393,1.6242133600920936
XLI,2.2840077628059974,1.8447018271915485,5.55876238255457,-0.7445355379273735,1.1039809170835417
XLF,5.468176642500776,1.7627604814740458,4.406121458452401,-5.15756407667496,1.2057090938701929
XLK,8.61831045341975,0.9078835991378098,0.8627740341673072,-0.9462265087723138,1.0250358054960858
XLY,6.585471242800515,1.7810200813390258,2.6016715719275614,1.4415905386828352,1.250237239974996
XLP,0.4717681681632573,1.58161865050356,0.0,1.73099090702203,1.0336683628243952
XLE,6.493210169603237,0.6002855777111142,5.139715137985347,0.5221778074236758,1.7632757725659398
XLV,5.114685662106729,1.6368185516239753,1.2334162469196903,-0.1274016167317338,1.1137329317719136
VOX,5.746332233618955,2.028801843018932,2.7966109618194,-1.3509772789583494,0.9574824667526232
XLU,-1.2980368791880392,1.3446453785817947,0.9883678852968194,-0.6552246615761051,1.4573768689477165
IYR,9.854620900141226,0.9903969414170645,1.0332833218868596,3.419776212926186,0.97410546370127
