,trough,expansion,peak,contraction,all_data
XLB,5.347632404748078,7.160018078346195,4.7066373669929575,-1.1435469854971163,4.867767262230139
XLI,-7.721491844733513,8.789958578318005,8.206262084716963,-6.5783386733156455,5.2975551442539635
XLF,-17.28528475109678,10.23934950488316,11.504158967744177,-20.475059127995735,3.8253281315585643
XLK,8.624400517217671,7.740933003638962,17.009435715528237,-4.385178139917123,7.180797433189409
XLY,8.76948477155769,9.583760342720446,4.544506770587288,-5.833406128422326,5.6877880575084125
XLP,-6.161732050425245,7.688925803955956,7.600872299716518,0.5422981783173709,4.597227143116517
XLE,-0.8957505325966973,5.848108474402542,-1.4466040318001003,3.427970451800887,4.533582577072567
XLV,-3.335272538199233,12.451607210039834,11.547070649765102,-5.306214710543982,5.350070536149958
VOX,12.186680849122759,7.690966375388374,8.540816462034112,-7.83599218362271,4.256660828325806
XLU,-6.786420700082107,6.424284695762763,8.801261056174736,-4.0199445128688875,4.626742064474552
IYR,-12.155780531313145,6.050079082310061,5.82133489560332,-0.5765687485733377,4.895916394849038
