Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2013-01-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-22,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan
2013-01-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-29,nan,nan,nan,nan,nan,nan,Sell,nan,nan,Sell,nan
2013-01-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-01-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-01,nan,nan,Sell,Sell,nan,nan,nan,nan,Sell,nan,nan
2013-02-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-08,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2013-02-11,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2013-02-12,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-19,nan,Sell,nan,nan,nan,Sell,nan,nan,nan,nan,Sell
2013-02-20,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-21,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-22,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2013-02-25,Buy,nan,nan,nan,Buy,nan,Buy,nan,nan,nan,Buy
2013-02-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-02-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2013-02-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2013-03-01,nan,nan,nan,nan,nan,nan,nan,Sell,nan,Sell,nan
2013-03-04,nan,nan,nan,nan,nan,nan,nan,Sell,nan,Sell,nan
2013-03-05,nan,nan,nan,Sell,Sell,Sell,nan,Sell,nan,Sell,Sell
2013-03-06,nan,nan,nan,nan,nan,nan,nan,Sell,nan,Sell,nan
2013-03-07,nan,nan,Sell,nan,nan,nan,nan,Sell,nan,nan,nan
2013-03-08,nan,Sell,Sell,nan,Sell,nan,nan,nan,Sell,nan,nan
2013-03-11,nan,Sell,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-14,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan
2013-03-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-20,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2013-03-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-22,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2013-03-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-03-26,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2013-03-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,Sell
2013-03-28,nan,nan,nan,nan,nan,Sell,nan,Sell,nan,Sell,Sell
2013-04-01,nan,nan,nan,nan,nan,nan,nan,Sell,nan,Sell,Sell
2013-04-02,nan,nan,nan,nan,nan,Sell,nan,Sell,nan,Sell,Sell
2013-04-03,Buy,Buy,Buy,Buy,nan,nan,Buy,nan,nan,nan,nan
2013-04-04,nan,nan,nan,nan,nan,nan,Buy,nan,Sell,nan,Sell
2013-04-05,nan,nan,nan,Buy,nan,nan,nan,nan,Sell,nan,Sell
2013-04-08,nan,nan,nan,nan,nan,nan,nan,nan,Sell,Sell,Sell
2013-04-09,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan,Sell
2013-04-10,nan,nan,Sell,Sell,Sell,nan,nan,nan,Sell,nan,Sell
2013-04-11,nan,nan,Sell,nan,Sell,nan,nan,Sell,Sell,nan,Sell
2013-04-12,nan,nan,nan,nan,Sell,nan,nan,nan,Sell,nan,nan
2013-04-15,Buy,Buy,nan,nan,nan,nan,Buy,nan,nan,nan,nan
2013-04-16,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan
2013-04-17,Buy,Buy,nan,Buy,nan,nan,Buy,nan,nan,nan,nan
2013-04-18,nan,Buy,nan,Buy,nan,nan,nan,nan,nan,nan,nan
2013-04-19,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan,nan
2013-04-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-04-23,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2013-04-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-04-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
