Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2009-02-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-02-25,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan
2009-02-26,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan
2009-02-27,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan
2009-03-02,Buy,Buy,nan,nan,nan,Buy,Buy,Buy,nan,nan,nan
2009-03-03,nan,nan,nan,nan,nan,Buy,nan,Buy,Buy,nan,nan
2009-03-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-09,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan
2009-03-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-18,nan,nan,Sell,Sell,Sell,nan,nan,nan,Sell,nan,nan
2009-03-19,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan
2009-03-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-23,Sell,nan,nan,Sell,Sell,nan,Sell,nan,Sell,nan,nan
2009-03-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-26,nan,Sell,nan,nan,Sell,nan,nan,nan,nan,nan,nan
2009-03-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2009-04-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2009-04-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-09,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,Sell
2009-04-13,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,Sell
2009-04-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-17,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2009-04-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-24,Sell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-04-30,Sell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2009-05-01,nan,nan,nan,Sell,nan,nan,Sell,nan,nan,Sell,nan
2009-05-04,Sell,Sell,nan,Sell,Sell,Sell,Sell,nan,Sell,Sell,nan
2009-05-05,Sell,nan,nan,nan,nan,nan,Sell,Sell,Sell,Sell,nan
2009-05-06,nan,Sell,Sell,nan,nan,nan,Sell,nan,Sell,nan,nan
2009-05-07,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
