Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2008-03-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2008-03-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-03-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-03-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-01,nan,nan,nan,nan,nan,nan,nan,nan,Sell,Sell,nan
2008-04-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2008-04-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2008-04-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-07,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2008-04-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-16,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan
2008-04-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-18,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2008-04-21,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2008-04-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-04-30,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan
2008-05-01,nan,nan,nan,Sell,Sell,nan,nan,nan,Sell,nan,nan
2008-05-02,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan
2008-05-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-15,nan,nan,nan,Sell,nan,Sell,nan,nan,nan,nan,nan
2008-05-16,Sell,nan,nan,nan,nan,Sell,Sell,nan,nan,nan,nan
2008-05-19,nan,nan,nan,nan,nan,Sell,Sell,nan,nan,Sell,nan
2008-05-20,nan,nan,nan,nan,nan,nan,Sell,nan,nan,Sell,nan
2008-05-21,nan,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-23,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-05-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-05,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan
2008-06-06,nan,Buy,Buy,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-09,nan,nan,Buy,nan,nan,nan,nan,nan,nan,nan,Buy
2008-06-10,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan
2008-06-11,nan,Buy,Buy,Buy,nan,nan,nan,Buy,Buy,nan,Buy
2008-06-12,nan,nan,nan,nan,nan,nan,nan,Buy,Buy,nan,nan
2008-06-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-18,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan
2008-06-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-20,nan,nan,nan,nan,Buy,Buy,nan,nan,nan,nan,nan
2008-06-23,nan,nan,nan,Buy,Buy,Buy,nan,nan,nan,nan,Buy
2008-06-24,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-06-26,Buy,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan
2008-06-27,Buy,Buy,Buy,Buy,Buy,Buy,nan,nan,nan,Buy,nan
2008-06-30,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-01,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-02,Buy,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-03,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-07,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan,Buy
2008-07-08,nan,nan,nan,nan,nan,nan,Buy,Sell,nan,nan,nan
2008-07-09,nan,nan,nan,nan,nan,nan,Buy,Sell,nan,nan,nan
2008-07-10,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2008-07-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-14,nan,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-15,nan,nan,Buy,nan,nan,nan,Buy,nan,nan,nan,nan
2008-07-16,nan,nan,nan,nan,nan,nan,Buy,nan,nan,Buy,nan
2008-07-17,nan,nan,nan,nan,nan,nan,Buy,Sell,nan,Buy,nan
2008-07-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan
2008-07-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan
2008-07-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-07-30,Sell,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2008-07-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-04,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-05,nan,nan,nan,nan,nan,Sell,nan,Sell,nan,nan,nan
2008-08-06,nan,nan,nan,Sell,nan,Sell,nan,Sell,nan,nan,nan
2008-08-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-08,nan,nan,nan,Sell,Sell,Sell,nan,Sell,nan,nan,nan
2008-08-11,nan,nan,nan,Sell,Sell,Sell,nan,nan,Sell,nan,nan
2008-08-12,nan,nan,nan,Sell,nan,Sell,nan,nan,nan,nan,nan
2008-08-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-08-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2008-08-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-03,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan,nan
2008-09-04,Buy,Buy,nan,Buy,nan,nan,nan,Buy,nan,Buy,nan
2008-09-05,Buy,Buy,nan,Buy,nan,nan,nan,Buy,nan,Buy,nan
2008-09-08,Buy,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
