Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-09-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2019-09-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2019-09-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-01,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan
2019-10-02,Buy,Buy,Buy,Buy,Buy,nan,Buy,Buy,Buy,nan,nan
2019-10-03,Buy,Buy,Buy,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-08,Buy,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-15,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2019-10-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2019-10-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2019-10-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2019-10-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-28,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2019-10-29,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2019-10-30,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2019-10-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-04,nan,Sell,nan,nan,nan,nan,Sell,nan,nan,nan,nan
2019-11-05,nan,nan,nan,nan,nan,nan,Sell,nan,nan,Buy,Buy
2019-11-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,Buy,Buy
2019-11-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,Buy,Buy
2019-11-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan
2019-11-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-15,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
2019-11-18,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan
2019-11-19,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2019-11-20,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2019-11-21,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2019-11-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-25,nan,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan
